qtd-WordsRequired,frequency-split,frequency-no-split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
,,,,Fruta,0,1,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,Fralda,0,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Refri,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Presente,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Livro,1,1,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,Chiclete,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Chifre,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Bicicleta,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Gritar,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Bruxa,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Letra,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Plástico,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Igreja,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Flor,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Escrever,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Dragão,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Magro,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Estrela,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Pedra,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Vidro,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Microfone,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Colher,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Floresta,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Biblioteca,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,Travesseiro,1,1,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,64,Moderate-Low,69,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Moderate-Low,69,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
,,,,,,,,,,Low,64,Low,69,Low,TRUE,TRUE
