Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
,,,,Gritar,70,70,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Bruxa,149,149,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Letra,59,59,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,Plástico,1294,1294,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Igreja,172,172,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Flor,0,16,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Escrever,982,982,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Dragão,36,36,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Magro,99,99,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Estrela,1294,1294,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Pedra,243,243,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Vidro,1294,1294,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Microfone,1249,1249,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Colher,1294,1294,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Floresta,1134,1134,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,Biblioteca,1089,1089,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,Travesseiro,1249,1249,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-High,19,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-High,21,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
