Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
,,,,Escrever,982,982,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Dragão,23,23,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Magro,73,73,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Estrela,50,50,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Pedra,45,45,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Vidro,922,922,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Microfone,132,132,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,Colher,66,66,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Floresta,849,849,,,,Low,6,Moderate-Low,6,Moderate-Low,FALSE,FALSE
,,,,Biblioteca,717,717,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,Travesseiro,581,581,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,7,Low,7,Low,FALSE,FALSE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
,,,,,,,,,,Low,6,Low,6,Low,TRUE,TRUE
,,,,,,,,,,Low,7,Low,7,Low,TRUE,TRUE
